FATAL  | wrapper  | 2017/11/15 11:19:39 | Unable to open configuration file: /Users/jeubank/workspace/overture-stack/ego/src/main/bin/../conf/wrapper.conf (No such file or directory)
FATAL  | wrapper  | 2017/11/15 11:19:39 |   Current working directory: /Users/jeubank/workspace/overture-stack/ego/src/main/bin
WARN   | wrapper  | 2017/11/15 11:20:22 | Unable to write to the configured log directory: ../logs (No such file or directory)
WARN   | wrapper  | 2017/11/15 11:20:22 |   The directory does not exist.
WARN   | wrapper  | 2017/11/15 11:20:22 | Unable to write to the configured log file: ../logs/wrapper.20171115.log (No such file or directory)
WARN   | wrapper  | 2017/11/15 11:20:22 |   Falling back to the default file in the current working directory: wrapper.log
WARN   | wrapper  | 2017/11/15 11:20:22 | The version of the script (3.5.19) doesn't match the version of this Wrapper (3.5.21). This might cause some problems
STATUS | wrapper  | 2017/11/15 11:20:22 | --> Wrapper Started as Daemon
STATUS | wrapper  | 2017/11/15 11:20:22 | Java Service Wrapper Community Edition 64-bit 3.5.21
STATUS | wrapper  | 2017/11/15 11:20:22 |   Copyright (C) 1999-2013 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2017/11/15 11:20:22 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2017/11/15 11:20:22 | 
STATUS | wrapper  | 2017/11/15 11:20:22 | Launching a JVM...
INFO   | jvm 1    | 2017/11/15 11:20:23 | WrapperManager: Initializing...
INFO   | jvm 1    | 2017/11/15 11:20:23 | WrapperSimpleApp Error: Unable to locate the class org.springframework.boot.loader.JarLauncher : java.lang.ClassNotFoundException: org.springframework.boot.loader.JarLauncher
INFO   | jvm 1    | 2017/11/15 11:20:23 | 
INFO   | jvm 1    | 2017/11/15 11:20:23 | WrapperSimpleApp Usage:
INFO   | jvm 1    | 2017/11/15 11:20:23 |   java org.tanukisoftware.wrapper.WrapperSimpleApp {app_class{/app_method}} [app_arguments]
INFO   | jvm 1    | 2017/11/15 11:20:23 | 
INFO   | jvm 1    | 2017/11/15 11:20:23 | Where:
INFO   | jvm 1    | 2017/11/15 11:20:23 |   app_class:      The fully qualified class name of the application to run.
INFO   | jvm 1    | 2017/11/15 11:20:23 |   app_arguments:  The arguments that would normally be passed to the
INFO   | jvm 1    | 2017/11/15 11:20:23 |                   application.
ERROR  | wrapper  | 2017/11/15 11:20:25 | JVM exited while loading the application.
STATUS | wrapper  | 2017/11/15 11:20:29 | Launching a JVM...
INFO   | jvm 2    | 2017/11/15 11:20:30 | WrapperManager: Initializing...
INFO   | jvm 2    | 2017/11/15 11:20:30 | WrapperSimpleApp Error: Unable to locate the class org.springframework.boot.loader.JarLauncher : java.lang.ClassNotFoundException: org.springframework.boot.loader.JarLauncher
INFO   | jvm 2    | 2017/11/15 11:20:30 | 
INFO   | jvm 2    | 2017/11/15 11:20:30 | WrapperSimpleApp Usage:
INFO   | jvm 2    | 2017/11/15 11:20:30 |   java org.tanukisoftware.wrapper.WrapperSimpleApp {app_class{/app_method}} [app_arguments]
INFO   | jvm 2    | 2017/11/15 11:20:30 | 
INFO   | jvm 2    | 2017/11/15 11:20:30 | Where:
INFO   | jvm 2    | 2017/11/15 11:20:30 |   app_class:      The fully qualified class name of the application to run.
INFO   | jvm 2    | 2017/11/15 11:20:30 |   app_arguments:  The arguments that would normally be passed to the
INFO   | jvm 2    | 2017/11/15 11:20:30 |                   application.
ERROR  | wrapper  | 2017/11/15 11:20:32 | JVM exited while loading the application.
STATUS | wrapper  | 2017/11/15 11:20:36 | Launching a JVM...
INFO   | jvm 3    | 2017/11/15 11:20:37 | WrapperManager: Initializing...
INFO   | jvm 3    | 2017/11/15 11:20:37 | WrapperSimpleApp Error: Unable to locate the class org.springframework.boot.loader.JarLauncher : java.lang.ClassNotFoundException: org.springframework.boot.loader.JarLauncher
INFO   | jvm 3    | 2017/11/15 11:20:37 | 
INFO   | jvm 3    | 2017/11/15 11:20:37 | WrapperSimpleApp Usage:
INFO   | jvm 3    | 2017/11/15 11:20:37 |   java org.tanukisoftware.wrapper.WrapperSimpleApp {app_class{/app_method}} [app_arguments]
INFO   | jvm 3    | 2017/11/15 11:20:37 | 
INFO   | jvm 3    | 2017/11/15 11:20:37 | Where:
INFO   | jvm 3    | 2017/11/15 11:20:37 |   app_class:      The fully qualified class name of the application to run.
INFO   | jvm 3    | 2017/11/15 11:20:37 |   app_arguments:  The arguments that would normally be passed to the
INFO   | jvm 3    | 2017/11/15 11:20:37 |                   application.
ERROR  | wrapper  | 2017/11/15 11:20:39 | JVM exited while loading the application.
STATUS | wrapper  | 2017/11/15 11:20:44 | Launching a JVM...
INFO   | jvm 4    | 2017/11/15 11:20:44 | WrapperManager: Initializing...
INFO   | jvm 4    | 2017/11/15 11:20:44 | WrapperSimpleApp Error: Unable to locate the class org.springframework.boot.loader.JarLauncher : java.lang.ClassNotFoundException: org.springframework.boot.loader.JarLauncher
INFO   | jvm 4    | 2017/11/15 11:20:44 | 
INFO   | jvm 4    | 2017/11/15 11:20:44 | WrapperSimpleApp Usage:
INFO   | jvm 4    | 2017/11/15 11:20:44 |   java org.tanukisoftware.wrapper.WrapperSimpleApp {app_class{/app_method}} [app_arguments]
INFO   | jvm 4    | 2017/11/15 11:20:44 | 
INFO   | jvm 4    | 2017/11/15 11:20:44 | Where:
INFO   | jvm 4    | 2017/11/15 11:20:44 |   app_class:      The fully qualified class name of the application to run.
INFO   | jvm 4    | 2017/11/15 11:20:44 |   app_arguments:  The arguments that would normally be passed to the
INFO   | jvm 4    | 2017/11/15 11:20:44 |                   application.
ERROR  | wrapper  | 2017/11/15 11:20:46 | JVM exited while loading the application.
STATUS | wrapper  | 2017/11/15 11:20:51 | Launching a JVM...
INFO   | jvm 5    | 2017/11/15 11:20:51 | WrapperManager: Initializing...
INFO   | jvm 5    | 2017/11/15 11:20:51 | WrapperSimpleApp Error: Unable to locate the class org.springframework.boot.loader.JarLauncher : java.lang.ClassNotFoundException: org.springframework.boot.loader.JarLauncher
INFO   | jvm 5    | 2017/11/15 11:20:51 | 
INFO   | jvm 5    | 2017/11/15 11:20:51 | WrapperSimpleApp Usage:
